dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,US lat,US lon,Intensity,Fandom Level,Race,helper,match,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Philadelphia Phillies,MLB,Mount Holly Springs,Mount Holly Springs,Mount Holly Springs,17065,40.11842,-77.18998,0,Convertible,Hispanic,0.18,17065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Fans,Philadelphia Phillies,MLB,Mount Laurel,Mount Laurel,Mount Laurel,8054,39.955912,-74.91731,21,Convertible,Hispanic,0.18,8054,5,4,0,6,1,3,0,0,2,4,12,22,7,21,15,44
Fans,Philadelphia Phillies,MLB,Mount Pleasant Mills,Mount Pleasant Mills,Mount Pleasant Mills,17853,40.723706,-77.013547,0,Convertible,Hispanic,0.18,17853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fans,Philadelphia Phillies,MLB,Mount Royal,Mount Royal,Mount Royal,8061,39.808643,-75.212943,0,Convertible,Hispanic,0.18,8061,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0
Fans,Philadelphia Phillies,MLB,Myerstown,Myerstown,Myerstown,17067,40.39037,-76.315043,31,Casual,Hispanic,0.18,17067,0,0,0,1,0,0,0,0,0,0,9,5,0,0,3,3
Fans,Philadelphia Phillies,MLB,National Park,National Park,National Park,8063,39.86595,-75.17879,0,Convertible,Hispanic,0.18,8063,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Nescopeck,Nescopeck,Nescopeck,18635,41.049051,-76.189182,0,Convertible,Hispanic,0.18,18635,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0
Fans,Philadelphia Phillies,MLB,New Holland,New Holland,New Holland,17557,40.14607,-76.073814,0,Convertible,Hispanic,0.18,17557,0,0,7,0,0,0,0,0,0,7,0,3,0,3,9,0
Fans,Philadelphia Phillies,MLB,New Oxford,New Oxford,New Oxford,17350,39.881881,-77.077431,0,Convertible,Hispanic,0.18,17350,0,0,1,19,0,3,3,1,5,0,1,21,3,1,0,0
Fans,Philadelphia Phillies,MLB,New Tripoli,New Tripoli,New Tripoli,18066,40.652611,-75.759361,0,Convertible,Hispanic,0.18,18066,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0
Fans,Philadelphia Phillies,MLB,Newfield,Newfield,Newfield,8344,39.565465,-75.014084,0,Convertible,Hispanic,0.18,8344,0,0,0,5,0,1,1,1,0,3,2,3,0,8,0,1
Fans,Philadelphia Phillies,MLB,North Star,Hockessin,Hockessin,19707,39.78384,-75.6816,34,Casual,Hispanic,0.18,19707,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5,11
Fans,Philadelphia Phillies,MLB,North Wildwood,Wildwood,Wildwood,8260,39,-74.81667,81,Avid,Hispanic,0.18,8260,3,2,0,3,15,0,5,12,0,9,17,11,0,0,3,4
Fans,Philadelphia Phillies,MLB,Oaks,Oaks,Oaks,19456,40.13177,-75.45963,29,Casual,Hispanic,0.18,19456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
